Lat,Lon,Elevation
49.15609,-115.21423,836
49.185684,-115.08516,1394
49.21511,-114.95596,1400
49.24438,-114.8266,1989
49.27349,-114.69707,1673
49.30244,-114.56737,1426
49.331234,-114.43753,1470
49.35986,-114.307526,1473
49.38833,-114.17734,1417
49.41664,-114.047,1283
49.444782,-113.91652,1246
49.47276,-113.78589,1148
49.50058,-113.65509,1109
49.528233,-113.52414,1176
49.555737,-113.393005,1060
49.583065,-113.26175,967
49.61022,-113.13034,1010
49.63723,-112.998764,951
49.66407,-112.867035,925
45.838055,-126.51807,0
45.880913,-126.405365,0
45.92364,-126.292496,0
45.96625,-126.17941,0
46.008728,-126.06618,0
46.051086,-125.95276,0
46.09332,-125.83911,0
46.13542,-125.725296,0
46.177395,-125.61131,0
46.21924,-125.49713,0
46.26096,-125.38278,0
46.302555,-125.268234,0
46.34402,-125.15347,0
46.38535,-125.038574,0
46.42655,-124.92349,0
46.467632,-124.8082,0
46.50857,-124.69273,0
46.549385,-124.57709,0
46.590065,-124.46126,0
46.63063,-124.3452,0
46.671047,-124.229004,0
46.711334,-124.11261,0
46.751488,-123.99606,48
46.791515,-123.87929,125
46.8314,-123.76236,91
46.871162,-123.6452,56
46.91078,-123.52792,172
46.950275,-123.41043,137
46.989628,-123.292755,133
47.028843,-123.1749,544
47.06793,-123.056854,98
47.10688,-122.938614,0
47.1457,-122.820206,81
47.184372,-122.7016,18
47.22291,-122.582855,0
47.261307,-122.4639,119
